arm,fill_mode,direction,filled,r,kind
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.05091793467371,stop
d0.2,touch,long,True,-1.061367882650998,stop
d0.2,through,long,True,-1.061367882650998,stop
d0.4,touch,long,True,-1.077351500920007,stop
d0.4,through,long,True,-1.077351500920007,stop
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.104881310950744,stop
d0.2,touch,long,True,-1.128888035261748,stop
d0.2,through,long,True,-1.128888035261748,stop
d0.4,touch,long,True,-1.1673254523973362,stop
d0.4,through,long,True,-1.1673254523973362,stop
d0.6,touch,long,True,-1.238796403945663,stop
d0.6,through,long,True,-1.238796403945663,stop
d0.8,touch,long,True,-1.4179711938886086,stop
d0.8,through,long,True,-1.4179711938886086,stop
d1.0,touch,long,True,-2.6924281897982363,stop
d1.0,through,long,True,-2.6924281897982363,stop
d0.0,touch,long,True,-1.1331962151846486,stop
d0.2,touch,long,True,-1.1567040051496702,stop
d0.2,through,long,True,-1.1567040051496702,stop
d0.4,touch,long,True,-1.1903806090969151,stop
d0.4,through,long,True,-1.1903806090969151,stop
d0.6,touch,long,True,-1.2426450653174181,stop
d0.6,through,long,True,-1.2426450653174181,stop
d0.8,touch,long,True,-1.3347527249347628,stop
d0.8,through,long,True,-1.3347527249347628,stop
d1.0,touch,long,True,2.459672073056518,target
d1.0,through,long,True,2.459672073056518,target
d0.0,touch,long,True,-1.1259417417848419,stop
d0.2,touch,long,True,-1.1324990535283623,stop
d0.2,through,long,True,-1.1324990535283623,stop
d0.4,touch,long,True,-1.1397827840633865,stop
d0.4,through,long,True,-1.1397827840633865,stop
d0.6,touch,long,True,-1.1479207204923112,stop
d0.6,through,long,True,-1.1479207204923112,stop
d0.8,touch,long,True,-1.1570724896214204,stop
d0.8,through,long,True,-1.1570724896214204,stop
d1.0,touch,long,True,-1.1674401332616409,stop
d1.0,through,long,True,-1.1674401332616409,stop
d0.0,touch,short,True,-1.0371131489706589,stop
d0.2,touch,short,True,-1.045867872477348,stop
d0.2,through,short,True,-1.045867872477348,stop
d0.4,touch,short,True,-1.0598439375558215,stop
d0.4,through,short,True,-1.0598439375558215,stop
d0.6,touch,short,True,-1.0856971483751174,stop
d0.6,through,short,True,-1.0856971483751174,stop
d0.8,touch,short,True,-1.1497541104168298,stop
d0.8,through,short,True,-1.1497541104168298,stop
d1.0,touch,short,True,2.4237100746214995,target
d1.0,through,short,True,2.4237100746214995,target
d0.0,touch,short,True,2.9571418282024093,target
d0.2,touch,short,True,2.9475535357888742,target
d0.2,through,short,True,2.9475535357888742,target
d0.4,touch,short,True,2.932599869871853,target
d0.4,through,short,True,2.932599869871853,target
d0.6,touch,short,True,2.9060278163983115,target
d0.6,through,short,True,2.9060278163983115,target
d0.8,touch,short,True,2.845694993495613,target
d0.8,through,short,True,2.845694993495613,target
d1.0,touch,short,True,2.575193769909057,target
d1.0,through,short,True,2.575193769909057,target
d0.0,touch,short,True,-1.0680383636422819,stop
d0.2,touch,short,True,2.920863947519024,target
d0.2,through,short,True,2.920863947519024,target
d0.4,touch,short,True,2.905515058708014,target
d0.4,through,short,True,2.905515058708014,target
d0.6,touch,short,True,2.882893482704437,target
d0.6,through,short,True,2.882893482704437,target
d0.8,touch,short,True,-1.1537745403403987,stop
d0.8,through,short,True,-1.1537745403403987,stop
d1.0,touch,short,True,2.776537574781929,target
d1.0,through,short,True,2.776537574781929,target
d0.0,touch,short,True,2.900547793097068,target
d0.2,touch,short,True,2.8904060827888927,target
d0.2,through,short,True,2.8904060827888927,target
d0.4,touch,short,True,2.8779865799349293,target
d0.4,through,short,True,2.8779865799349293,target
d0.6,touch,short,True,2.8624248316772234,target
d0.6,through,short,True,2.8624248316772234,target
d0.8,touch,short,True,2.842355605689983,target
d0.8,through,short,True,2.842355605689983,target
d1.0,touch,short,True,2.8154888499959796,target
d1.0,through,short,True,2.8154888499959796,target
d0.0,touch,short,True,2.9141911304916377,target
d0.2,touch,short,True,2.9036814847558032,target
d0.2,through,short,True,2.9036814847558032,target
d0.4,touch,short,True,2.890276589290508,target
d0.4,through,short,True,2.890276589290508,target
d0.6,touch,short,True,2.8725889272633824,target
d0.6,through,short,True,2.8725889272633824,target
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,2.975698364389301,target
d0.2,touch,short,True,2.9710907040362993,target
d0.2,through,short,True,2.9710907040362993,target
d0.4,touch,short,True,2.964431187172961,target
d0.4,through,short,True,2.964431187172961,target
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,2.9339695338294787,target
d0.2,touch,short,True,2.9236840063399097,target
d0.2,through,short,True,2.9236840063399097,target
d0.4,touch,short,True,2.909669791210605,target
d0.4,through,short,True,2.909669791210605,target
d0.6,touch,short,True,2.8894504352385355,target
d0.6,through,short,True,2.8894504352385355,target
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,short,True,-0.5605998384357039,tif
d0.2,touch,short,True,2.9743997425994997,target
d0.2,through,short,True,2.9743997425994997,target
d0.4,touch,short,False,,
d0.4,through,short,False,,
d0.6,touch,short,False,,
d0.6,through,short,False,,
d0.8,touch,short,False,,
d0.8,through,short,False,,
d1.0,touch,short,False,,
d1.0,through,short,False,,
d0.0,touch,long,True,-0.1537633733437839,tif
d0.2,touch,long,True,2.9513203723117587,target
d0.2,through,long,True,2.9513203723117587,target
d0.4,touch,long,True,2.940087262616373,target
d0.4,through,long,True,2.940087262616373,target
d0.6,touch,long,True,2.921929883587315,target
d0.6,through,long,True,2.921929883587315,target
d0.8,touch,long,True,2.887593507414538,target
d0.8,through,long,True,2.887593507414538,target
d1.0,touch,long,True,2.798078870595272,target
d1.0,through,long,True,2.798078870595272,target
d0.0,touch,long,True,-0.13134473369079885,tif
d0.2,touch,long,True,-0.03259360632541972,tif
d0.2,through,long,True,-0.03259360632541972,tif
d0.4,touch,long,True,0.18382445369028522,tif
d0.4,through,long,True,0.18382445369028522,tif
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.0225641078714445,stop
d0.2,touch,long,True,-1.0276230385359255,stop
d0.2,through,long,True,-1.0276230385359255,stop
d0.4,touch,long,False,,
d0.4,through,long,False,,
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
