variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p1|tilt=none|H=off,333,333,0.6862899805587775,228.53456352607293,-5.0,45.706912705214584,74.17417417417418,161.72454709531888,66.81001643075408,COMBINED
wick_p1|tilt=none|H=on,333,333,0.4790214325558849,159.51413704110968,-3.3695997920138296,47.33919363930653,74.17417417417418,108.58497101109995,50.92916603000975,COMBINED
wick_p1|tilt=skip_after_loss|H=off,333,247,0.7596315338691482,187.62898886567962,-3.0,62.54299628855987,78.13765182186235,136.19370702091496,51.435281844764695,COMBINED
wick_p1|tilt=skip_after_loss|H=on,333,247,0.5078102300981135,125.42912683423404,-2.7745267357703796,45.207395271109974,78.13765182186235,88.7552354089352,36.673891425298834,COMBINED
wick_p1|tilt=half_after_loss|H=off,333,333,0.6248701987864154,208.0817761958763,-3.184799896006922,65.33590272241834,74.17417417417418,148.9591270581169,59.12264913775938,COMBINED
wick_p1|tilt=half_after_loss|H=on,333,333,0.4278427385515672,142.47163193767187,-2.7876267588045778,51.10857523794477,74.17417417417418,98.67010321001757,43.8015287276543,COMBINED
wick_p1|tilt=half_after_2stops_7d|H=off,333,333,0.6851869335389812,228.16724886848073,-4.0,57.04181221712018,74.17417417417418,161.35723243772668,66.81001643075408,COMBINED
wick_p1|tilt=half_after_2stops_7d|H=on,333,333,0.47650055769345195,158.6746857119195,-2.934799896006922,54.06661146738205,74.17417417417418,107.74551968190974,50.92916603000975,COMBINED
wick_p2|tilt=none|H=off,333,333,0.9372031408524154,312.08864590385434,-7.0,44.584092271979195,63.06306306306306,230.9495606831061,81.13908522074824,COMBINED
wick_p2|tilt=none|H=on,333,333,0.691377335391875,230.22865268549435,-5.5,41.859755033726245,63.06306306306306,164.7416737069119,65.48697897858244,COMBINED
wick_p2|tilt=skip_after_loss|H=off,333,210,1.1718274491480436,246.08376432108918,-3.0,82.02792144036306,70.47619047619048,183.59103501318393,62.49272930790527,COMBINED
wick_p2|tilt=skip_after_loss|H=on,333,210,0.8418378196337637,176.78594212309042,-2.7745267357703938,63.71751255588563,70.47619047619048,127.6005584666113,49.1853836564791,COMBINED
wick_p2|tilt=half_after_loss|H=off,333,333,0.8380967120494648,279.08620511247176,-4.0,69.77155127811794,63.06306306306306,207.27029784814502,71.81590726432675,COMBINED
wick_p2|tilt=half_after_loss|H=on,333,333,0.6111330252381153,203.5072974042924,-3.4403613844376935,59.152883858320145,63.06306306306306,146.17111608676163,57.33618131753077,COMBINED
wick_p2|tilt=half_after_2stops_7d|H=off,333,333,0.9333828059916718,310.8164743952267,-6.0,51.80274573253778,63.06306306306306,227.17738917447846,83.63908522074824,COMBINED
wick_p2|tilt=half_after_2stops_7d|H=on,333,333,0.6855189442863767,228.27780844736344,-4.5,50.72840187719188,63.06306306306306,160.790829468781,67.48697897858244,COMBINED
wick_p3|tilt=none|H=off,333,333,1.1899828539561745,396.2642903674061,-7.0,56.60918433820087,60.66066066066066,295.1606453218087,101.10364504559743,COMBINED
wick_p3|tilt=none|H=on,333,333,0.8658092269313786,288.3144725681491,-5.5,52.420813194208925,60.66066066066066,207.32636145131065,80.98811111683845,COMBINED
wick_p3|tilt=skip_after_loss|H=off,333,202,1.4534325308741838,293.5933712365851,-3.1843053500998337,92.2001312554339,68.31683168316832,219.57612642645825,74.01724481012685,COMBINED
wick_p3|tilt=skip_after_loss|H=on,333,202,1.02836848763272,207.73043450180944,-2.092152675049917,99.29028458539871,68.31683168316832,149.25803235011887,58.472402151690574,COMBINED
wick_p3|tilt=half_after_loss|H=off,333,333,1.0358223147207075,344.9288308019956,-4.0,86.2322077004989,60.66066066066066,257.3683858741334,87.56044492786214,COMBINED
wick_p3|tilt=half_after_loss|H=on,333,333,0.7448121727777155,248.02245353497926,-3.0,82.67415117832643,60.66066066066066,178.29219690071477,69.7302566342645,COMBINED
wick_p3|tilt=half_after_2stops_7d|H=off,333,333,1.1764314688400974,391.75167912375247,-6.0,65.29194652062542,60.66066066066066,288.14803407815504,103.60364504559743,COMBINED
wick_p3|tilt=half_after_2stops_7d|H=on,333,333,0.854175622184659,284.44048218749145,-4.5,63.20899604166477,60.66066066066066,201.45237107065302,82.98811111683845,COMBINED
