asset,ts,iso,bar_day,bar_day_str,pdo,today_open,gap_pct,hour_low,hour_high,hour_close,btc_30d_pct,regime_available
BTC,1609264800,2020-12-29T18:00:00Z,18625,2020-12-29,26281.54,27079.42,3.0358951568286994,26243.5,26628.98,26621.46,47.126140759166816,True
BTC,1609747200,2021-01-04T08:00:00Z,18631,2021-01-04,32176.45,33000.05,2.5596360070797184,31505.0,33148.69,32068.84,69.57492632715554,True
BTC,1609750800,2021-01-04T09:00:00Z,18631,2021-01-04,32176.45,33000.05,2.5596360070797184,31450.0,32567.88,32045.14,67.33841952177293,True
BTC,1609754400,2021-01-04T10:00:00Z,18631,2021-01-04,32176.45,33000.05,2.5596360070797184,30248.85,32152.15,31038.63,62.41730950968113,True
BTC,1609772400,2021-01-04T15:00:00Z,18631,2021-01-04,32176.45,33000.05,2.5596360070797184,31400.0,32167.93,32113.68,68.31060361079477,True
BTC,1609776000,2021-01-04T16:00:00Z,18631,2021-01-04,32176.45,33000.05,2.5596360070797184,31550.0,32185.67,31745.72,66.11420360655087,True
BTC,1610074800,2021-01-08T03:00:00Z,18635,2021-01-08,36769.36,39432.48,7.2427695233205105,36500.0,38692.83,37181.74,103.39007712925988,True
BTC,1610172000,2021-01-09T06:00:00Z,18636,2021-01-09,39432.48,40586.96,2.9277387574912757,39154.48,40206.43,39295.37,113.88296665046482,True
BTC,1610175600,2021-01-09T07:00:00Z,18636,2021-01-09,39432.48,40586.96,2.9277387574912757,38888.0,39627.11,38984.86,113.0527450211004,True
BTC,1610179200,2021-01-09T08:00:00Z,18636,2021-01-09,39432.48,40586.96,2.9277387574912757,38720.0,39692.0,39638.61,116.18021685315864,True
BTC,1610182800,2021-01-09T09:00:00Z,18636,2021-01-09,39432.48,40586.96,2.9277387574912757,39290.86,40254.42,40172.14,117.93243749084539,True
BTC,1610715600,2021-01-15T13:00:00Z,18642,2021-01-15,37371.38,39145.21,4.746493172047705,37200.0,38194.04,37770.63,91.11973449119834,True
BTC,1610719200,2021-01-15T14:00:00Z,18642,2021-01-15,37371.38,39145.21,4.746493172047705,37251.11,37888.88,37683.94,85.4569327705245,True
BTC,1610722800,2021-01-15T15:00:00Z,18642,2021-01-15,37371.38,39145.21,4.746493172047705,36641.0,37786.74,36939.49,78.89239188338418,True
BTC,1611100800,2021-01-20T00:00:00Z,18646,2021-01-19,35824.99,36622.46,2.226015973765802,35844.06,36722.71,35891.49,53.019374543817385,True
BTC,1611979200,2021-01-30T04:00:00Z,18657,2021-01-30,33368.18,34246.28,2.631548978697665,32825.0,34000.0,33273.36,14.640848952590963,True
BTC,1611982800,2021-01-30T05:00:00Z,18657,2021-01-30,33368.18,34246.28,2.631548978697665,33001.52,33656.08,33503.13,15.415206169141543,True
